city,year,black_white_gap_pp,hispanic_white_gap_pp,asian_white_gap_pp,White_NonHisp__burden_rate,Black_AA__burden_rate,Hispanic__burden_rate,Asian__burden_rate
"Madison, WI",2015,9.140990935633598,8.912295409746207,1.8415269200017903,0.6534435849614226,0.7448534943177586,0.7425665390588847,0.6718588541614405
"Madison, WI",2016,7.651881139308692,4.369602441450249,0.9096869509505612,0.6505771528370512,0.7270959642301381,0.6942731772515537,0.6596740223465568
"Madison, WI",2017,10.357226793141027,2.8752831326764094,-1.7104761613836894,0.653309541376597,0.7568818093080073,0.6820623727033611,0.6362047797627601
"Madison, WI",2018,11.11386445362098,7.976552888288479,-4.453689771643832,0.6400494792358149,0.7511881237720247,0.7198150081186997,0.5955125815193766
"Madison, WI",2019,11.667833969990404,3.229857793029678,-5.302361401302913,0.6427022839325259,0.75938062363243,0.6750008618628227,0.5896786699194968
"Madison, WI",2020,11.725401592257633,-1.4780902066351742,-4.978867583531665,0.6468136399748802,0.7640676558974565,0.6320327379085284,0.5970249641395635
"Madison, WI",2021,10.831203330810624,-3.4283733810699046,-5.689384010439902,0.6574600568390178,0.765772090147124,0.6231763230283187,0.6005662167346187
"Madison, WI",2022,10.664772111659836,-5.629564499531769,-3.7937156521636206,0.6535093533572405,0.7601570744738388,0.5972137083619228,0.6155721968356043
"Madison, WI",2023,10.011486615171805,-1.5269687680716904,-1.2873244939418105,0.6768289162292701,0.7769437823809882,0.6615592285485532,0.663955671289852
"Austin, TX",2015,22.8322364609014,16.758514139048042,-4.217166034139829,0.5949142326467499,0.8232365972557639,0.7624993740372303,0.5527425723053516
"Austin, TX",2016,20.216481366193072,15.67846094427714,-6.676143673094459,0.6091753489921359,0.8113401626540666,0.7659599584349073,0.5424139122611913
"Austin, TX",2017,20.040420124693593,15.578447997571132,-6.376581203193488,0.6002610023197068,0.8006652035666427,0.7560454822954181,0.5364951902877719
"Austin, TX",2018,21.189285684351766,16.039858426139308,-6.865878347945554,0.590407844212373,0.8023007010558907,0.7508064284737661,0.5217490607329175
"Austin, TX",2019,18.18403114957351,15.86936360971648,-5.2955550184421,0.5813148191763273,0.7631551306720624,0.7400084552734921,0.5283592689919063
"Austin, TX",2020,16.466803426630662,11.61418787819587,-5.9769188509135045,0.6020509593880863,0.7667189936543929,0.718192838170045,0.5422817708789512
"Austin, TX",2021,19.6596050394113,12.666946288623816,-6.137882870002532,0.5961920408517699,0.7927880912458829,0.7228615037380081,0.5348132121517446
"Austin, TX",2022,14.72370222762539,12.038853618604794,-9.155277038778864,0.6091782090866454,0.7564152313628993,0.7295667452726934,0.5176254386988568
"Austin, TX",2023,12.504414337066283,11.146507004716765,-12.995308054176856,0.6222534845900545,0.7472976279607173,0.7337185546372221,0.4923004040482859
